,title,nominations,awards
0,Birdman,9,4
1,The Grand Budapest Hotel,9,4
2,Whiplash,5,3
3,The Imitation Game,8,1
4,American Sniper,6,1
5,Boyhood,6,1
6,Interstellar,5,1
7,The Theory of Everything,5,1
8,Ida,2,1
9,Selma,2,1
10,Citizenfour,1,1
11,Big Hero 6,1,1
12,Crisis Hotline: Veterans Press 1,1,1
13,The Phone Call,1,1
14,Still Alice,1,1
15,Feast,1,1
