,title,nominations,awards
0,Argo,7,3
1,Life of Pi,11,4
2,Les Misérables,8,3
3,Lincoln,12,2
4,Django Unchained,5,2
5,Skyfall,5,2
6,Silver Linings Playbook,8,1
7,Zero Dark Thirty,5,1
8,Amour,5,1
9,Anna Karenina,4,1
10,Paperman,1,1
11,Brave,1,1
12,Searching for Sugar Man,1,1
13,Inocente,1,1
14,Curfew,1,1
