,title,nominations,awards
0,12 Years a Slave,9,3
1,Gravity,10,7
2,Dallas Buyers Club,6,3
3,Frozen,2,2
4,The Great Gatsby,2,2
5,Her,5,1
6,Blue Jasmine,3,1
7,Mr Hublot,1,1
8,The Lady in Number 6: Music Saved My Life,1,1
9,Helium,1,1
10,The Great Beauty,1,1
11,20 Feet from Stardom,1,1
