,title,nominations,awards
0,The King's Speech,12,4
1,Inception,8,4
2,The Social Network,8,3
3,The Fighter,7,2
4,Toy Story 3,5,2
5,Alice in Wonderland,3,2
6,Black Swan,5,1
7,In a Better World,1,1
8,The Lost Thing,1,1
9,God of Love,1,1
10,The Wolfman,1,1
11,Strangers No More,1,1
12,Inside Job,1,1
