,title,nominations,awards
0,Spotlight,6,2
1,Mad Max: Fury Road,10,6
2,The Revenant,12,3
3,Bridge of Spies,6,1
4,The Big Short,5,1
5,The Danish Girl,4,1
6,Room,4,1
7,Ex Machina,2,1
8,The Hateful Eight,2,1
9,Inside Out,2,1
10,Amy,1,1
11,Bear Story,1,1
12,A Girl in the River: The Price of Forgiveness,1,1
13,Son of Saul,1,1
14,Spectre,1,1
15,Stutterer,1,1
